tier,name,image,description,youtube,instagram,tiktok
A,"Black Thunder
(Original)",bto.jpg,Crunchy chocolate cookie covered in milk chocolate.,https://www.youtube.com/shorts/M94oOSBIOLY,https://www.instagram.com/reel/DR1DpBhjA4i/,https://www.tiktok.com/@japan.snack.uncle/video/7579867058196745490
A,"Kaju Gumi
(Grape)",kajuu_grape.png,"Grape flavored gummy. Very fruity. Soft, but chewy.",https://www.youtube.com/shorts/CaWKew1sISo,https://www.instagram.com/reel/DR7QJnkjL2d/,https://www.tiktok.com/@japan.snack.uncle/video/7580757779196005650
A,"Kaju Gumi
(Muscat)",kajuu_muscat.png,"Muscat flavored gummy. Very fruity. Soft, but chewy.",https://www.youtube.com/shorts/CaWKew1sISo,https://www.instagram.com/reel/DR7QJnkjL2d/,https://www.tiktok.com/@japan.snack.uncle/video/7580757779196005650
A,"Kaju Gumi
(Mandarin Orange)",kajuu_mikan.png,"Mandarin Orange flavored gummy. Very fruity. Soft, but chewy.",https://www.youtube.com/shorts/CaWKew1sISo,https://www.instagram.com/reel/DR7QJnkjL2d/,https://www.tiktok.com/@japan.snack.uncle/video/7580757779196005650
A,"Mow
(Vanilla)",mow.png,Real (by law) vanilla ice cream.,https://www.youtube.com/shorts/548H4mTup3U,https://www.instagram.com/reel/DSDESTqEQIK/,https://www.tiktok.com/@japan.snack.uncle/video/7581882562453261576
B,Choco Monaka Jumbo,chocomonakajumbo.jpg,"Ice milk enclosed in monaka (shell made from rice flour), separated by a chocolate wall that keeps the monaka from getting soggy.",https://www.youtube.com/shorts/548H4mTup3U,https://www.instagram.com/reel/DSDESTqEQIK/,https://www.tiktok.com/@japan.snack.uncle/video/7581882562453261576
B,"Coolish
(Vanilla)",coolish.jpg,Lacto ice in a portable slurp pack. Noticeably different texture than ice cream.,https://www.youtube.com/shorts/548H4mTup3U,https://www.instagram.com/reel/DSDESTqEQIK/,https://www.tiktok.com/@japan.snack.uncle/video/7581882562453261576
C,"Black Thunder
(Kyoto)",bt_kyoto.jpg,Matcha-flavored Kyoto-exclusive Black Thunder.,https://www.youtube.com/shorts/5s07KdhOrrc,https://www.instagram.com/reel/DSIJwQqD7Fo/,https://www.tiktok.com/@japan.snack.uncle/video/7582615909999611143
A,"Black Thunder
(Matcha Essence)",bt_matchashinzui.jpg,"Matcha-flavored Black Thunder. Unlike the Kyoto one, available nationwide.",https://www.youtube.com/shorts/5s07KdhOrrc,https://www.instagram.com/reel/DSIJwQqD7Fo/,https://www.tiktok.com/@japan.snack.uncle/video/7582615909999611143
